,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
7460,Porter and Chester Institute of Rocky Hill,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7461,Porter and Chester Institute of Enfield,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7462,Porter and Chester Institute of Watertown,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7463,Porter and Chester Institute of Chicopee,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7464,Porter and Chester Institute of Westborough,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7465,Porter and Chester Institute of Canton,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7466,Porter and Chester Institute of Woburn,3.0,0.0,0.0,0.0,9500.0,12273.0,0.50777605,0.597508591,0.615491975,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7467,Strayer University-Takoma Park Campus,3.0,0.0,0.0,0.0,12500.0,39499.5,0.444774917,0.51965924,0.701720039,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7468,Barry University Law School,2.0,0.0,0.0,0.0,21500.0,29884.0,0.74662513,0.795463138,0.848503548,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,1
7469,University of Southernmost Florida-Coral Gables Campus,3.0,0.0,0.0,0.0,12347.5,15525.0,0.363112392,0.303797468,0.549763033,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7470,Keiser University-Melbourne,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7471,Keiser University-Tallahassee,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7472,Keiser University-Daytona,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7473,Keiser University-Lakeland,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7474,Keiser University- Miami,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7475,Keiser University-Orlando,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7476,Keiser University-Sarasota,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7477,Keiser University-Jacksonville,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7478,Keiser University-Tampa,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7479,Keiser University-Pembroke Pines,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7480,Keiser University-Port St Lucie,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7481,Keiser University-West Palm Beach,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7482,Keiser University-Ft Myers,2.0,0.0,0.0,0.0,19200.0,27500.0,0.468016739,0.562400319,0.683610064,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7483,Manhattan Hairstyling Academy - North,3.0,0.0,0.0,0.0,8308.0,9150.0,0.274528302,0.306434024,0.441453567,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7484,Rasmussen College-New Port Richey,3.0,0.0,0.0,0.0,12667.0,23203.0,0.441587366,0.575628978,0.739653513,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7485,Rasmussen College-Fort Myers,3.0,0.0,0.0,0.0,12667.0,23203.0,0.441587366,0.575628978,0.739653513,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7486,Rasmussen College-Tampa/Brandon,3.0,0.0,0.0,0.0,12667.0,23203.0,0.441587366,0.575628978,0.739653513,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7487,Rasmussen College-Land O' Lakes,3.0,0.0,0.0,0.0,12667.0,23203.0,0.441587366,0.575628978,0.739653513,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7488,GMC-Sandersville,1.0,0.0,0.0,0.0,6076.0,10500.0,0.480910918,0.483449477,0.591575092,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7489,GMC-Madison,1.0,0.0,0.0,0.0,6076.0,10500.0,0.480910918,0.483449477,0.591575092,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7490,Portfolio Center - Waltham,3.0,0.0,0.0,0.0,9500.0,9500.0,0.883928571,0.861702128,0.916666667,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,1
7491,Moody Theological Seminary and Graduate School--Michigan,2.0,0.0,0.0,0.0,11736.651049952276,16782.101893453146,0.5914641030122595,0.620269740799787,0.6961114103049724,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,3
7492,Moody Bible Institute-Spokane,2.0,0.0,0.0,0.0,11736.651049952276,16782.101893453146,0.5914641030122595,0.620269740799787,0.6961114103049724,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,3
7493,Saint Anthony College of Nursing,2.0,0.0,0.0,0.0,24899.0,25000.0,0.5914641030122595,0.620269740799787,0.6961114103049724,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,1
7494,PJ's College of Cosmetology- Brownsburg,3.0,0.0,0.0,0.0,9500.0,13833.0,0.401913876,0.298969072,0.530612245,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7495,PJ's College of Cosmetology-Crestwood,3.0,0.0,0.0,0.0,9500.0,13833.0,0.401913876,0.298969072,0.530612245,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7496,PJ's College of Cosmetology- Jeffersonville,3.0,0.0,0.0,0.0,9500.0,13833.0,0.401913876,0.298969072,0.530612245,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7497,Ivy Tech Community College-Northcentral,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7498,Ivy Tech Community College-Columbus,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7499,Ivy Tech Community College-East Central,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7500,Ivy Tech Community College-Kokomo,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7501,Ivy Tech Community College-Lafayette,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7502,Ivy Tech Community College-Northeast,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7503,Ivy Tech Community College-South Central,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7504,Ivy Tech Community College-Southwest,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7505,Ivy Tech Community College-Wabash Valley,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7506,Ivy Tech Community College-Richmond,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7507,Ivy Tech Community College-Northwest,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7508,Ivy Tech Community College-Southeast,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7509,Ivy Tech Community College-Bloominton,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7510,Ivy Tech Community College-Central Indiana,1.0,0.0,0.0,0.0,7322.0,14000.0,0.469222097,0.58208589,0.665805785,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7511,Harrison College-Anderson,3.0,0.0,0.0,0.0,12576.0,27167.0,0.411553525,0.469534788,0.584518828,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7512,Harrison College-Columbus,3.0,0.0,0.0,0.0,12576.0,27167.0,0.411553525,0.469534788,0.584518828,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
