,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
1601,Goucher College,2,3,0.0,0.0,19500.0,25000.0,0.906458797,0.949656751,0.954285714,,39.4102,-76.5948,24246.0,0.0,,2
1602,Kaplan University-Hagerstown Campus,3,2,0.0,0.0,12667.0,30500.0,0.356806698,0.357949344,0.54716119,,39.673,-77.7225,25358.0,0.0,,1
1603,Hagerstown Community College,1,2,0.0,0.0,5500.0,11000.0,0.689655172,0.694249649,0.714285714,0.2179,39.631,-77.6674,,0.0,0.238771429,3
1604,Harford Community College,1,2,0.0,0.0,5350.0,8000.0,0.721568627,0.763779528,0.835820896,0.187,39.5613,-76.2818,,0.0,0.188658695,3
1605,Hood College,2,3,0.0,0.0,22375.0,27000.0,0.888704319,0.880324544,0.908396947,,39.4219,-77.4193,23479.0,0.0,,2
1606,Howard Community College,1,2,0.0,0.0,7182.0,10702.0,0.63071066,0.71169687,0.731707317,0.15,39.2116,-76.8784,,0.0,0.15190329,3
1607,The Colorlab Academy of Hair,3,1,0.0,0.0,9500.0,9833.0,0.53030303,0.701754386,0.681818182,0.3542,39.5319,-76.3499,14200.0,0.0,0.380985714,3
1608,Johns Hopkins University,2,3,0.0,0.0,17500.0,18500.0,0.939569536,0.952170062,0.966617211,,39.3284,-76.6208,26596.0,0.0,,2
1609,L'Academie de Cuisine,3,1,0.0,0.0,20000.0,20000.0,0.8,0.824074074,0.871794872,0.75,39.1182,-77.1902,21965.0,0.0,0.73334,2
1610,Lincoln College of Technology-Columbia,3,1,0.0,0.0,11246.0,12017.0,0.437313433,0.509363296,0.537867079,0.6045,39.1773,-76.8304,23847.0,0.0,0.550778422,1
1611,Loyola University Maryland,2,3,0.0,0.0,26000.0,27000.0,0.947681332,0.971493729,0.986618005,,39.346,-76.6234,36046.0,0.0,,2
1612,Maryland Beauty Academy of Reisterstown,3,1,0.0,0.0,4780.0,6500.0,0.333333333,0.454545455,0.681818182,0.8571,39.4575,-76.8202,11885.0,0.0,0.793634921,0
1613,University of Maryland-University College,1,3,0.0,0.0,12122.0,21000.0,0.655968735,0.714715618,0.798434442,,38.9863,-76.9541,,0.0,,2
1614,University of Maryland-Baltimore,1,3,0.0,0.0,14000.0,14500.0,0.955958549,0.945454545,0.973966309,,39.2913,-76.625,,0.0,,2
1615,University of Maryland-Baltimore County,1,3,0.0,0.0,17500.0,21500.0,0.86209467,0.881613183,0.930250482,,39.2567,-76.7116,,0.0,,2
1616,University of Maryland-College Park,1,3,0.0,0.0,17500.0,19500.0,0.915186722,0.92321271,0.939666239,,38.9886,-76.9397,,0.0,,2
1617,Maryland Institute College of Art,2,3,0.0,0.0,23000.0,27000.0,0.908408408,0.903716216,0.918918919,,39.3088,-76.621,35607.0,0.0,,2
1618,University of Maryland Eastern Shore,1,3,0.0,0.0,18071.0,27500.0,0.459368704,0.544822794,0.63844086,,38.2112,-75.6872,,0.0,,1
1619,Fortis Institute-Towson,3,1,0.0,0.0,9866.5,12868.0,0.455983954,0.421296296,0.45978836,0.5628,39.4033,-76.6046,17574.0,0.0,0.576104191,1
1620,Montgomery Beauty School,3,1,0.0,0.0,3750.0,9155.0,0.573333333,0.380952381,0.548192771,0.5,38.9998,-77.0015,12738.0,0.0,0.5,0
1621,Montgomery College,1,2,0.0,0.0,5750.0,9500.0,0.69904963,0.731617647,0.75616083,0.1635,39.0956,-77.1583,,0.0,0.166640897,3
1622,Morgan State University,1,3,0.0,0.0,22907.0,31000.0,0.377313228,0.470162749,0.641525791,,39.3442,-76.5842,,0.0,,1
1623,Mount St Mary's University,2,3,0.0,0.0,19500.0,27000.0,0.913043478,0.941619586,0.940320233,,39.6806,-77.3522,26589.0,0.0,,2
1624,Ner Israel Rabbinical College,2,3,1.0,0.0,,,,,,,39.3878,-76.7518,8675.0,0.0,,0
1625,Hair Academy Inc-New Carrollton,3,1,0.0,0.0,5500.0,10673.5,0.268328446,0.196319018,0.285714286,0.5018,38.9562,-76.8695,14455.0,0.0,0.505854902,1
1626,Notre Dame of Maryland University,2,3,0.0,1.0,21732.5,27500.0,0.779929577,0.812785388,0.888888889,,39.3513,-76.6197,20579.0,0.0,,2
1627,Prince George's Community College,1,2,0.0,0.0,4114.0,7523.0,0.500534759,0.561269147,0.683876812,0.0632,38.8885,-76.8242,,0.0,0.067715332,3
1628,TESST College of Technology-Baltimore,3,1,0.0,0.0,8840.0,9495.0,0.171442688,0.193548387,0.34195122,0.6177,39.2607,-76.6656,22290.0,0.0,0.580766042,1
1629,Robert Paul Academy of Cosmetology Arts & Sciences,3,1,0.0,0.0,7500.0,7500.0,0.792682927,0.677777778,0.848837209,0.8,39.4311,-76.6219,14936.0,0.0,0.645825,0
1630,Maryland Beauty Academy of Essex,3,1,0.0,0.0,6995.0,7500.0,0.387931034,0.445783133,0.373333333,0.8182,39.3081,-76.4756,12056.0,0.0,0.813951163,0
1631,Salisbury University,1,3,0.0,0.0,16250.0,20443.0,0.89206066,0.894004796,0.913172176,,38.3454,-75.6057,,0.0,,2
1632,St Mary's College of Maryland,1,3,0.0,0.0,19130.0,21671.5,0.934456929,0.916666667,0.933447099,,38.1886,-76.4257,,0.0,,2
1633,Sojourner-Douglass College,2,3,0.0,0.0,20817.0,35500.0,0.329317269,0.473533619,0.654237288,,39.2963,-76.5982,22050.0,0.0,,1
1634,St John's College,2,3,0.0,0.0,19500.0,25500.0,0.927777778,0.875675676,0.941463415,,38.9815,-76.4914,29270.0,0.0,,2
1635,TESST College of Technology-Beltsville,3,1,0.0,0.0,9497.0,9500.0,0.420826162,0.35504886,0.512104283,0.6203,39.0456,-76.9134,22565.0,0.0,0.648375328,1
1636,Towson University,1,3,0.0,0.0,15750.0,19000.0,0.877104745,0.902477596,0.921956769,,39.393,-76.6123,,0.0,,2
1637,Maryland University of Integrative Health,2,4,0.0,0.0,,,,,,,39.1659,-76.888,,0.0,,0
1638,International Beauty School,3,1,0.0,0.0,13000.0,16500.0,0.134441088,0.294573643,0.523809524,0.7883,39.6535,-78.7628,16144.0,0.0,0.759530916,1
1639,Stevenson University,2,3,0.0,0.0,18197.5,25000.0,0.846351931,0.88961039,0.908069459,,39.4213,-76.7012,25021.0,0.0,,2
1640,Washington College,2,3,0.0,0.0,25000.0,27000.0,0.918918919,0.947214076,0.973300971,,39.2173,-76.0688,30255.0,0.0,,2
1641,McDaniel College,2,3,0.0,0.0,22000.0,27000.0,0.949511401,0.944554455,0.951635846,,39.5849,-77.0017,20675.0,0.0,,2
1642,Wor-Wic Community College,1,2,0.0,0.0,3500.0,7650.0,0.602272727,0.626811594,0.66572238,0.1579,38.374,-75.5009,,0.0,0.150948387,3
1643,Hult International Business School,2,4,0.0,0.0,,,,,,,,,,0.0,,0
1644,New England College of Business and Finance,3,3,0.0,0.0,12450.0,20704.0,0.653846154,,,,42.3536,-71.0567,11406.0,0.0,,0
1645,American International College,2,3,0.0,0.0,20726.0,27000.0,0.731988473,0.763661202,0.770992366,,42.1127,-72.5585,19155.0,0.0,,2
1646,Amherst College,2,3,0.0,0.0,10453.0,11185.5,0.926701571,,,,42.3725,-72.5185,19449.0,0.0,,0
1647,Andover Newton Theological School,2,4,0.0,0.0,,,,,,,42.3247,-71.1896,,0.0,,0
1648,Anna Maria College,2,3,0.0,0.0,18125.0,26000.0,0.739054291,0.786542923,0.816568047,,42.3306,-71.919,24684.0,0.0,,2
1649,Assabet Valley Regional Technical School,1,1,0.0,0.0,9500.0,9500.0,0.56097561,0.6875,0.770833333,0.6829,42.3677,-71.5681,,0.0,0.734919277,0
